"","daytime_pop","daytime_density","travel_to","DP0010001","brewery","cafe","medinc","b_hs","hs","phd","oldpop","youngpop","dist1","dist2","dist3","dist4","zone","hood"
"4561",5058,1636.055585781,3139,5059,0,0,66455,0,43.5,23.7,4384,531,0,0,1,6,"Lowrise 2","Interbay"
"4562",5058,1636.055585781,3139,5059,0,1,66455,0,43.5,23.7,4384,531,1,4,5,5,"General Industrial 1","Interbay"
"4563",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,1,1,1,"Residential Single Family 7200","Lawton Park"
"4564",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,1,1,1,"Residential Single Family 7200","Lawton Park"
"4565",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,0,0,0,"General Industrial 2","Interbay"
"4566",4549,1499.87075195982,814,6382,0,0,159652,0,28.5,37.2,4969,256,0,0,3,3,"Residential Single Family 5000","Briarcliff"
"4567",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,0,0,1,"Residential Single Family 5000","Lawton Park"
"4568",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,0,0,1,"Residential Single Family 5000","Lawton Park"
"4569",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,2,2,2,"Residential Single Family 7200","Lawton Park"
"4570",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,1,1,1,"Residential Single Family 7200","Lawton Park"
"4571",5976,3357.9126998888,4369,4743,1,2,69865,6,43.1,16,3836,497,0,0,2,2,"General Industrial 2","Interbay"
"4572",5976,3357.9126998888,4369,4743,0,0,69865,6,43.1,16,3836,497,0,0,0,0,"Residential Single Family 5000","Lawton Park"
"4573",5976,3357.9126998888,4369,4743,0,0,69865,6,43.1,16,3836,497,0,0,0,0,"Residential Single Family 5000","Lawton Park"
"4574",5976,3357.9126998888,4369,4743,0,0,69865,6,43.1,16,3836,497,0,0,0,0,"Residential Single Family 5000","Lawton Park"
"4575",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,0,3,4,"Residential Single Family 7200","Lawton Park"
"4576",5110,2064.60976047295,1949,7683,0,0,84846,3.5,32.5,28.4,6607,593,0,0,0,0,"General Industrial 1",NA
"4577",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,0,0,0,"General Industrial 1",NA
"4578",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,1,1,1,"Residential Single Family 7200","Lawton Park"
"4579",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,2,2,2,"Residential Single Family 7200","Lawton Park"
"4580",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,0,0,0,"Residential Single Family 7200","Lawton Park"
"4581",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,3,3,4,"Residential Single Family 5000","Southeast Magnolia"
"4582",5976,3357.9126998888,4369,4743,0,0,69865,6,43.1,16,3836,497,0,0,0,0,"Residential Single Family 5000","Lawton Park"
"4583",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,0,3,5,"Residential Single Family 7200",NA
"4584",5976,3357.9126998888,4369,4743,0,0,69865,6,43.1,16,3836,497,0,0,0,0,"Residential Single Family 5000","Lawton Park"
"4585",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,0,0,0,"Residential Single Family 5000","Lawton Park"
"4586",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,0,0,1,"Residential Single Family 7200","Lawton Park"
